
:->    673906 µs

:->    793317 µs

:->    894264 µs

:->   1049971 µs

:->    158147 µs

:->    303808 µs

:->    399333 µs

:->    559989 µs

:->    683669 µs

:->    789702 µs

:->    904062 µs

:->   1042921 µs

:->    170947 µs

:->    278360 µs

:->    388175 µs

:->    505681 µs

:->    623068 µs

:->    779197 µs

:->    887260 µs

:->    992251 µs

:->    148436 µs

:->    262634 µs

:->    371319 µs

:->    484235 µs

:->    608430 µs

:->    766348 µs

:->    874175 µs

:->    979044 µs

:->   1084382 µs

:->    187918 µs
