
:->    513478 µs

:->    643522 µs

:->    761863 µs

:->    885885 µs

:->   1010623 µs

:->    140572 µs

:->    284508 µs

:->    432156 µs

:->    610098 µs

:->    769568 µs

:->    916747 µs

:->   1046051 µs

:->    180386 µs

:->    322154 µs

:->    490798 µs

:->    639407 µs

:->    777569 µs

:->    902698 µs

:->   1036995 µs

:->    202633 µs

:->    350099 µs

:->    479724 µs

:->    611887 µs

:->    751650 µs

:->    888614 µs

:->   1017943 µs

:->    155954 µs

:->    305401 µs

:->    447545 µs

:->    580515 µs
