
:->   1394697 µs

:->   1595325 µs

:->   1560509 µs

:->   1591978 µs

:->   1661153 µs

:->   1703110 µs

:->   1704292 µs

:->   1884573 µs

:->   1863256 µs

:->   1907884 µs

:->   2053536 µs

:->   1067931 µs

:->   1219423 µs

:->   1367017 µs

:->   1448294 µs

:->   1547280 µs

:->   1523379 µs

:->   1641540 µs

:->   1830361 µs

:->   1794510 µs

:->   1771843 µs

:->   1790418 µs

:->   1990730 µs

:->   1191599 µs

:->   1190943 µs

:->   1389420 µs

:->   1394159 µs

:->   1383659 µs

:->   1393185 µs

:->   1462879 µs
