
:->   1300341 µs

:->   1505237 µs

:->   2408415 µs

:->   1939664 µs

:->   2145903 µs

:->   1496637 µs

:->   2331562 µs

:->   1935507 µs

:->   2497626 µs

:->   2227925 µs

:->   1373957 µs

:->   1615012 µs

:->   1997150 µs

:->   1365017 µs

:->   1630329 µs

:->   1885563 µs

:->   2046069 µs

:->   1327734 µs

:->   1556772 µs

:->   1970438 µs

:->   2144980 µs

:->   1294504 µs

:->   1877464 µs

:->   2134756 µs

:->   1555388 µs

:->   2043563 µs

:->   1182550 µs

:->   1298661 µs

:->   1353163 µs

:->   1348675 µs
